trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.75, 'e': 0.0001893491124260355}",20,0,16.88727799317495,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.75, 'e': 0.00018365472910927458}",20,15,7.852901100656694,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.75, 'e': 0.00017821341055914458}",20,11,-49.083623974128784,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.75, 'e': 0.00017301038062283739}",25,11,-54.148640204648174,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
69,False,"{'a': 0.75, 'e': 0.00016803192606595254}",25,5,0.8749227075450656,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.75, 'e': 0.00016326530612244898}",25,7,-16.24652626063096,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.75, 'e': 0.00015869867089863122}",20,12,10.757968394796892,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.75, 'e': 0.00015432098765432098}",20,4,-14.541785905885648,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.75, 'e': 0.00015012197410395946}",25,0,23.919772454135302,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.75, 'e': 0.00014609203798392989}",20,12,-68.2843021898674,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
75,False,"{'a': 0.75, 'e': 0.00014222222222222224}",20,2,28.214049009742325,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.75, 'e': 0.00013850415512465375}",25,8,25.562485596949646,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.75, 'e': 0.00013493000505987519}",25,9,-55.44549835206278,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
78,False,"{'a': 0.75, 'e': 0.00013149243918474687}",25,6,31.871247340660858,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.75, 'e': 0.00012818458580355713}",25,11,24.23425236276646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.75, 'e': 0.000125}",25,3,-18.18592893581783,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.75, 'e': 0.00012193263222069807}",30,11,25.516368472401307,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.75, 'e': 0.00011897679952409281}",25,5,33.98405631979519,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.75, 'e': 0.00011612715923936712}",25,10,25.46563400287828,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.75, 'e': 0.00011337868480725624}",25,0,42.593035725474174,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.75, 'e': 0.00011072664359861593}",30,16,11.729728189699678,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.75, 'e': 0.0001081665765278529}",25,17,14.077061962438885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.75, 'e': 0.00010569427929713305}",25,17,14.610330862372242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.75, 'e': 0.00010330578512396695}",20,14,2.109689620530865,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.75, 'e': 0.00010099734881959349}",25,1,8.776367150008978,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.75, 'e': 9.876543209876544e-05}",20,0,-7.824420370907247,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.75, 'e': 9.6606690013283425e-05}",25,0,28.70858515334314,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.75, 'e': 9.4517958412098304e-05}",35,18,-11.809946033254558,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.75, 'e': 9.2496242340154932e-05}",20,6,22.862022593616775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.75, 'e': 9.0538705296514259e-05}",20,0,30.215673949082106,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.75, 'e': 8.8642659279778403e-05}",30,19,19.240738153146985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.75, 'e': 8.6805555555555559e-05}",20,10,18.145262429673497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.75, 'e': 8.5024976086725475e-05}",25,16,18.10998126014563,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.75, 'e': 8.3298625572678051e-05}",20,6,-1.6465998401028523,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.75, 'e': 8.162432404856648e-05}",20,0,34.31651426594158,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
